私は新しいカタカナ辞典を借りました。;わたし は あたらしい かたかな じてん を かりました。;I borrowed a new Katakana dictionary.;hiragana	katakana	translation	applies to	more specifically
彼はリンゴをひとかじりすると、ガツッという音がした。;かれ は りんご を ひと かじり すると 、 がつっ という おと が した 。;He took a bite of the apple, and it made a crunching sound.;がつっ	ガツッ	crunching	onomatopoeia
彼はナイフでリンゴをがつっがつっ刺していた。;かれ は ないふ で りんご を がつっ がつっ さして いた。;He was stabbing the apple with a knife.;がつっがつっ	ガツッガツッ	with a sharp heavy object	performing an action	stabbing
今日は太陽がかっかと輝いています。;きょう は たいよう が かっ か と かがやいて います。;Today, the sun is blazing brightly.;かっ	カッ	"blazing, blinding"	weather	sunlight
彼はロープをがっぷり握って離さなかった。;かれ は ろーぷ を がっぷり にぎって はなさなかった。;He gripped the rope tightly and didn't let go.;がっぷり	ガップリ	grip tighly	action
彼はハンバーガーにがっぷり噛みついた。;かれ は はんばーがー に がっぷり かみついた。;He bit down on the hamburger.;がっぷり	ガップリ	to bite down	performing an action
馬は野原をかっぽかっぽと走っていた。;うま は のはら を かっぽかっぽ と はしって いた。;The horse was trotting through the field.;かっぽかっぽ	カッポカッポ	trotting	onomatopoeia
彼は株式市場での投資が成功し、毎日がっぽがっぽとお金を稼いでいる。;かれ は かぶしきしじょう で の とうし が せいこう し、まいにち がっぽ がっぽ と おかね を かせいで いる。;He has successfully invested in the stock market and is making a large amount of money every day.;がっぽがっぽ	ガッポガッポ	making a large amount of money	quantity
彼はビジネスでがっぽり儲けた。;かれ は びじねす で がっぽり もうけた。;He made a large amount of money through his business.;がっぽり	ガッポリ	making a large amount of money	quantity
車がガツンとぶつかった。;くるま が がつん と ぶつかった。;The cars collided head-on.;がつん	ガツン	head-on	action	colliding
彼はドアにガツンとぶつかった。;かれ は ドア に がつん と ぶつかった。;He slammed into the door with a thud.;がつん	ガツン	the impact of something heavy hitting something hard accidentally	action	hitting something
彼はドアをがばっと開けた。;かれ は どあ を がばっと あけた。;He suddenly flung the door open.;がば	ガバ	"sudden, forceful"	action
子供たちは突然がばと立ち上がった。;こどもたちは とつぜん がばと たちあがった。;The children suddenly jumped up.;がば	ガバ	jumping up (from stationary position)	performing an action
この靴はがばがばで歩きにくい。;この くつ は がばがば で あるき にくい。;These shoes are too loose and hard to walk in.;がばがば	ガバガバ	"large, ill-fitting"	form
風が吹いている間に古いドアががばがばと音を立てていた。;かぜ が ふいている あいだに ふるい ドア が がばがば と おと を たてていた。;While the wind was blowing, the old door flapped noisily.;がばがば	ガバガバ	flapping	onomatopoeia
その古い水道の蛇口から、水はがばがば音を立てて流れ出している。;その ふるい すいどう の じゃぐち から、みず は がばがば おと を たてて ながれだしている。;Water is gurgling out of the old faucet.;がばがば	ガバガバ	gurgling	onomatopoeia
このおもちを冷凍庫から出したら、がばがばになりました。;この おもち を れいとうこ から だしたら、がばがば に なりました。;When I took the mochi out of the freezer, it became hard and stiff.;がばがば	ガバガバ	"hard and stiff, frozen hard"	physical state	stiff
彼はがばがば稼いでいる。;かれ は がばがば かせいで いる。;He is making lots of money.;がばがば	ガバガバ	to make lots of money	quantity
このズボンはがばがばで履くたびに落ちてしまいます。;この ずぼん は がばがば で はく たび に おちて しまいます。;These pants are so large that they fall down every time I wear them.;がばがば	ガバガバ	"large, ill-fitting"	size
彼はガバッと起き上がった。;かれ は がばっ と おきあがった。;He suddenly sat up forcefully.;がばっ	ガバッ	forceful	action	sudden
彼はアラーム音を聞いて、ガバっと起きた。;かれ は あらーむ おと を きいて がばっ と おきた。;He jumped up quickly when he heard the alarm sound.;がばっ	ガバッ	jumping up (from stationary position)	performing an action
彼は取引でがばっとお金を稼いだ。;かれ は とりひき で がばっと おかね を かせいだ。;He made a lot of money from the deal.;がばっ	ガバッ	to make lots of money	quantity
彼は水をがぶがぶと飲んだ。;かれ は みず を がぶがぶ と のんだ。;He gulped down the water.;がぶがぶ	ガブガブ	gulp down	performing an action	drinking
彼はジュースをがぶっと飲んだ。;かれ は ジュース を がぶっと のんだ。;He gulped down the juice in one go.;がぶっ	ガブッ	swallow in one gulp	performing an action	drinking
りんごをがぶっとかじった。;りんご を がぶっと かじった。;I took a big bite out of the apple.;がぶっ	ガブッ	bite something in one chomp (focus on the in-the-mouth aspect)	performing an action
彼は暑い日に冷たい水をがぶりと飲んだ。;かれ は あつい ひ に つめたい みず を がぶり と のんだ。;On a hot day, he drank the cold water in one gulp.;がぶり	ガブリ	swallow in one gulp (slower than がぶっ)	performing an action	drinking
ビッグマックをがぶりと食べた。;びっぐ まっく を がぶり と たべた。;I took a big bite of the Big Mac.;がぶり	ガブリ	bite something in one chomp (focus on the biting aspect)	performing an action
馬がかぽかぽと歩いています。;うま が かぽかぽ と あるいています。;The horse is trotting.;かぽかぽ	カポカポ	trotting	onomatopoeia
その ズボン が ぼがぼ で 歩き にくい です。;その ずぼん が ぼ が ぼ で あるき にくい です。;Those pants are so loose that it's hard to walk in them.;がぼがぼ	ガボガボ	"loose, baggy"	form
川の水ががぼがぼと流れています。;かわ の みず が がぼがぼ と ながれています。;The river water is gurgling as it flows.;がぼがぼ	ガボガボ	gurgling	onomatopoeia
このズボンはがぼがぼです。;この ずぼん は がぼがぼ です。;These pants are loose.;がぼがぼ	ガボガボ	"loose, baggy"	size
株式投資でガボッと利益が出た。;かぶしきとうし で がぼっと りえき が でた。;I made a large profit from stock investments.;がぼっ	ガボッ	large profit/loss	quantity
母が家事を手伝わない弟にがみがみ言っています。;はは が かじ を てつだわない おとうと に がみがみ いっています。;Mom is snarling at my brother for not helping with the housework.;がみがみ	ガミガミ	"snarl, crabby, snapping"	speech
子供たちががやがやと遊んでいる。;こども たち が がやがや と あそんでいる。;The children are noisily playing.;がやがや	ガヤガヤ	"noisy, clamorous"	perceived sound
その駐車場はからからで、すぐに車を止めることができた。;その ちゅうしゃじょう は からから で、すぐ に くるま を とめる こと が できた。;The parking lot was empty, so I was able to park my car right away.;からから	カラカラ	"empty, vacant"	available space
喉がからからで水を飲みたい。;のど が からから で みず を のみたい。;My throat is parched and I want to drink water.;からから	カラカラ	"parched, dry throat"	body function
彼はカラカラ笑った。;かれ は からから わらった。;He laughed loudly.;からから	カラカラ	a good laugh (masculine type of laugh)	laughter
彼の財布はいつもからからで、お金の問題に悩んでいます。;かれ の さいふ は いつも からから で、 おかね の もんだい に なやんでいます。;His wallet is always empty, and he worries about money issues.;からから	カラカラ	empty [purse]	money issues
石がバケツの中でからからと音を立てた。;いし が バケツ の なか で からから と おと を たてた。;The stones made a clattering sound in the bucket.;からから	カラカラ	clattering	onomatopoeia
川の水がからからに乾いている。;かわ の みず が からから に かわいて いる。;The river's water is completely dried up.;からから	カラカラ	"dried up, parched"	physical state	dry
今日の天気はからからに乾いている。;きょう の てんき は からから に かわいて いる。;The weather today is extremely dry.;からから	カラカラ	dry	weather	climate
昼間の電車はがらがらだった。;ひるま の でんしゃ は がらがら だった。;The train was empty during the daytime.;がらがら	ガラガラ	empty (moved out of)	available space
彼はのどをガラガラ音を立ててうがいします。;かれ は のど を がらがら おと を たてて うがいします 。;He gargles loudly making a gargling sound.;がらがら	ガラガラ	gargling	onomatopoeia
彼が戸を開けると、がらがら音がした。;かれ が と を あける と、 がらがら おと が した。;When he opened the door, there was a rattling sound.;がらがら	ガラガラ	rattling	onomatopoeia
空き瓶が床に転がって、からころと音を立てた。;あきびん が ゆか に ころがって、からころ と おと を たてた。;The empty bottle rolled on the floor, making a clattering sound.;からころ	カラコロ	clattering	onomatopoeia
今日は空がからっと晴れています。;きょう は そら が からっと はれています 。;The sky is clear and pleasantly dry today.;からっ	カラッ	"crispy dry, pleasant"	weather	clear
彼の態度ががらっと変わった。;かれ の たいど が がらっと かわった。;His attitude changed completely.;がらっ	ガラッ	completely change	action	sudden
彼がドアを開けると、がらっと音がした。;かれ が どあ を ひらける と 、 がらっと おと が した 。;When he opened the door, it made a rattling sound.;がらっ	ガラッ	rattling	onomatopoeia
この部屋はからっぽです。;この へや は からっぽ です。;This room is empty.;からっぽ	カラッポ	"empty, vacant"	available space
財布がからっぽで、ビルを払えません。;さいふ が からっぽ で、びる を はらえません。;My wallet is empty, so I can't pay the bill.;からっぽ	カラッポ	to be all out	money issues
彼のからりとした性格がみんなに好かれます。;かれ の からり と した せいかく が みんな に すかれます。;His straightforward and cheerful personality is liked by everyone.;からり	カラリ	"straightforward, cheerful"	personal traits
今日はからりとした天気です。;きょう は からり と した てんき です。;Today, the weather is pleasantly dry.;からり	カラリ	pleasantly dry	physical state	dry
空がからりと晴れて、遠くの山までよく見える。;そら が からり と はれて 、 とおく の やま まで よく みえる 。;The sky is open and clear, allowing us to see the distant mountains well.;からり	カラリ	"open, clear, unobstructed"	sight
空がからりと晴れて、とても気持ちのいい日です。;そら が からり と はれて、 とても きもち の いい ひ です。;The sky cleared up pleasantly, making it a very nice day.;からり	カラリ	"pleasantly dry, clearing up"	weather	clear
彼の態度ががらりと変わった。;かれ の たいど が がらり と かわった。;His attitude completely changed.;がらり	ガラリ	completely change	action	sudden
窓が急に開いて、外から冷たい風がガラリと入ってきた。;まど が きゅうに あいて、 そと から つめたい かぜ が がらり と はいってきた。;The window suddenly opened, and a cold wind clattered in from outside.;がらり	ガラリ	clattering	onomatopoeia
風が強くて窓ががらりと開いた。;かぜ が つよくて まど が がらり と あいた。;The wind was strong, and the window swung open with a rattle.;がらり	ガラリ	rattling	onomatopoeia
彼の態度は噂を聞いてがらりと変わった。;かれ の たいど は うわさ を きいて がらり と かわった。;His attitude changed completely once he heard the rumor.;がらり	ガラリ	completely (suddenly)	resultant state
家はがらんとしている。;いえ は がらん と して いる。;The house is empty.;がらん	ガラン	empty (moved out of)	available space
がらんとした部屋に一人でいると、物音が不気味に響く。;がらんと した へや に ひとり で いる と、ものおと が ふきみ に ひびく。;When alone in an empty room, sounds echo eerily.;がらん	ガラン	clanging	onomatopoeia
風が吹くと、教会のベルがからんからんと鳴ります。;かぜ が ふく と、きょうかい の べる が からんからん と なります。;When the wind blows, the church bells ring with a hollow clang.;からんからん	カランカラン	"hollow ""clang"""	onomatopoeia	bells
風で風鈴がカランカランと鳴っている。;かぜ で ふうりん が からんからん と なっている。;The wind is making the wind chimes clatter.;からんからん	カランカラン	clattering	onomatopoeia
彼は最近、仕事で忙しくて常にカリカリしている。;かれ は さいきん、しごと で いそがしくて つねに かりかり している。;He has been busy at work lately and is constantly uptight.;かりかり	カリカリ	"irritated, uptight, nervously excited"	mood	nervous
彼はテストの前にかりかりになっていました。;かれ は てすと の まえ に かりかり に なっていました。;He was nervous before the test.;かりかり	カリカリ	"nervous, excited, worked up"	mood	nervous
彼は黒板をカリカリと削っていた。;かれ は こくばん を かりかり と けずって いた。;He was scraping the blackboard.;かりかり	カリカリ	scraping	onomatopoeia
せんべいをかじると、かりかりとした音がした。;せんべい を かじる と 、 かりかり と した おと が した 。;When I bit into the rice cracker, it made a crunchy sound.;かりかり	カリカリ	hard	physical state	stiff
この焼いたベーコンはかりかりしていて美味しいです。;この やいた ベーコン は かりかり していて おいしい です。;This grilled bacon is crispy and delicious.;かりかり	カリカリ	crisp	texture
このクッキーはかりかりしています。;この くっきー は かりかり して います。;This cookie is crunchy.;かりかり	カリカリ	hard	texture	surface
彼は試験のことを考えすぎて、がりがりに痩せた。;かれ は しけん の こと を かんがえすぎて、がりがり に やせた。;He became so obsessed with the exam that he lost a lot of weight.;がりがり	ガリガリ	"possessed, obsessed"	mental state
彼はがりがりとせんべいを食べている。;かれ は がりがり と せんべい を たべている。;He is nibbling on the rice cracker loudly.;がりがり	ガリガリ	nibbling	onomatopoeia
猫がドアをがりがり引っかいている。;ねこ が どあ を がりがり ひっかいて いる。;The cat is scratching the door loudly.;がりがり	ガリガリ	scratching	onomatopoeia
彼は寒い日にはがりがりと歩いている。;かれ は さむい ひ に は がりがり と あるいている。;On cold days, he walks stiffly.;がりがり	ガリガリ	extremely hard	physical state	stiff
彼の服を洗ったら、がりがりになってしまった。;かれ の ふく を あらったら、がりがり に なって しまった。;After washing his clothes, they became extremely hard and coarse.;がりがり	ガリガリ	extremely hard and coarse	texture
彼はどんどん痩せて、がりがりになってしまった。;かれ は どんどん やせて、がりがり に なってしまった。;He kept losing weight and ended up becoming overly thin.;がりがり	ガリガリ	overly thin	the body
ボクサーは相手の顔に強いがんを与えた。;ぼくさー は あいて の かお に つよい がん を あたえた。;The boxer delivered a strong blow to the opponent's face.;がん	ガン	receiving a strong blow	action	hitting something
彼はいきなり私の背中をがんと叩いた。;かれ は いきなり わたし の せなか を がん と たたいた。;He suddenly slapped me on the back.;がん	ガン	slap	action	striking
この映画は心に深いがんを残した。;この えいが は こころ に ふかい がん を のこした。;This movie left a deep impact on my heart.;がん	ガン	impacting	onomatopoeia
雷がガンと鳴った。;かみなり が がん と なった。;There was a thunderous crash of thunder.;がん	ガン	thundering	onomatopoeia
トムがボクサーリングで相手の顔にパンチをした時、大きな音がして「ガン！」と言った。;とむ が ぼくさー りんぐ で あいて の かお に ぱんち を した とき 、 おおきな おと が して がん と いった。;When Tom punched the opponent's face in the boxing ring, there was a loud noise that went 'Pow!'.;がん	ガン	"""pow!"""	onomatopoeia
彼は上司の発言に、かんかんに怒っている。;かれ は じょうし の はつげん に、かんかん に おこっている。;He is boiling with rage at his boss's comment.;かんかん	カンカン	boil with rage	emotions	anger
彼は激怒して、ドアをかんかんと叩いた。;かれ は げきど して、どあ を かんかん と たたいた。;He was furious and banged on the door loudly.;かんかん	カンカン	"clear ""clang"""	onomatopoeia	bells
今日はかんかんに晴れていて、日差しがとても強いです。;きょう は かんかん に はれていて、ひざし が とても つよい です。;Today is blazing sunny, and the sunlight is very strong.;かんかん	カンカン	"blazing, blinding"	weather	sunlight
胸がガンガンする。;むね が ガンガン する。;My heart is pounding.;がんがん	ガンガン	having a pounding heart	body function
頭がガンガンする。;あたま が がんがん する。;My head is throbbing.;がんがん	ガンガン	a throbbing sensation in the head (like it's being pounded)	feelings	pain
鉄工所の外では、金属がガンガン鳴り響いていた。;てっこうじょ の そと で は きんぞく が がんがん なりひびいていた。;Outside the steel factory, the metal was clanging loudly.;がんがん	ガンガン	clanging	onomatopoeia
工事現場では、鍋がガンガン叩かれている音が聞こえる。;こうじげんばで は、なべ が がんがん たたかれている おと が きこえる。;At the construction site, the sound of pans being hammered can be heard.;がんがん	ガンガン	hammering	onomatopoeia
頭がガンガンする。;あたま が がんがん する。;My head is pounding.;がんがん	ガンガン	pounding	onomatopoeia
頭がガンガンする。;あたま が がんがん する。;My head is pounding.;がんがん	ガンガン	irritating	perceived sound
彼は宿題をガンガン片付けた。;かれ は しゅくだい を がんがん かたづけた。;He tackled his homework vigorously.;がんがん	ガンガン	vigorously	performing an action
猫がきーっと鳴いた。;ねこ が きーっと ないた。;The cat screeched.;きー	キー	screeching	onomatopoeia
赤ちゃんが眠れなくて、夜中にキーキー泣いた。;あかちゃん が ねむれなくて 、 よなか に きーきー ないた 。;The baby couldn't sleep and cried with a high-pitched voice in the middle of the night.;きーきー	キーキー	high pitched crying	onomatopoeia	human noises
彼はドアが閉まるたびにキーキーと叫んだ。;かれ は どあ が しまる たび に きーきー と さけんだ。;He screeched every time the door closed.;きーきー	キーキー	screeching	onomatopoeia	human noises
猿が木の上でキーキーと鳴いています。;さる が き の うえ で きーきー と ないて います。;The monkey is squeaking in the tree.;きーきー	キーキー	squeak	onomatopoeia	monkey
ネズミがかごの中でキーキーと鳴いている。;ねずみ が かご の なか で きーきー と ないて いる。;The mouse is squeaking inside the cage.;きーきー	キーキー	squeak	onomatopoeia	rodent
電車が急に止まって、キーキーと音がした。;でんしゃ が きゅうに とまって、 きーきー と おと が した。;The train suddenly stopped, and there was a screeching sound.;きーきー	キーキー	screetching	onomatopoeia
ドアがぎーぎーと音を立てて開いた。;どあ が ぎーぎー と おと を たてて あいた。;The door creaked open.;ぎーぎー	ギーギー	creaking	onomatopoeia
電車が急にブレーキをかけて、キーッと音を立てた。;でんしゃ が きゅう に ぶれーき を かけて、 きーっ と おと を たてた。;The train suddenly braked and made a screeching sound.;きーっ	キーッ	screetching	onomatopoeia
ドアを開けると、ぎーっという音がした。;どあ を あける と ぎーっ と いう おと が した。;When I opened the door, it made a creaking sound.;ぎーっ	ギーッ	creaking	onomatopoeia
その二人のギクギクした会話はすぐにみんなが違和感を覚えた。;その ふたり の ギクギク した かいわ は すぐに みんな が いわかん を おぼえた。;The awkward conversation between those two quickly made everyone feel uneasy.;ぎくぎく	ギクギク	twisted	form
彼のギクギクした動きで、周りは少し戸惑いを感じた。;かれ の ぎくぎく した うごき で、 まわり は すこし とまどい を かんじた。;His awkward motions made those around him feel a bit uneasy.;ぎくぎく	ギクギク	awkward	motions
彼の歩き方はぎくしゃくしている。;かれ の あるきかた は ぎくしゃく している。;His way of walking is clumsy.;ぎくしゃく	ギクシャク	"clumsy, awkward"	motions
彼の日本語はぎくしゃくしている。;かれ の にほんご は ぎくしゃく して いる。;His Japanese is clumsy.;ぎくしゃく	ギクシャク	clumsy	performing an action
彼らの関係は最近ぎくしゃくしている。;かれら の かんけい は さいきん ぎくしゃく している。;Their relationship has been awkward and strained recently.;ぎくしゃく	ギクシャク	"clumsy, stiff and unnatural"	personal relations
彼の突然の叫び声に、ぎくっとして心臓が飛び跳ねた。;かれ の とつぜん の さけびごえ に ぎくっ と して しんぞう が とびはねた。;His sudden scream made my heart jump with a start.;ぎくっ	ギクッ	sharp startlement	mental state	scared
彼の背中を触った瞬間、彼はぎくっとした。;かれ の せなか を さわった しゅんかん、かれ は ぎくっと した。;The moment I touched his back, he jerked awkwardly.;ぎくっ	ギクッ	twist/bend suddenly in an awkward manner	motions
彼 は ぎくりと 背筋 を 震わせた。;かれ は ぎくりと せすじ を ふるわせた。;He trembled along his spine in a startled fright.;ぎくり	ギクリ	"startled, frightened, stopped one breath short"	mental state	scared
彼女の言葉にぎくんとしてしまった。;かのじょ の ことば に ぎくん と して しまった。;I was startled by her words.;ぎくん	ギクン	"startled, frightened, stopped one breath short"	mental state	scared
自転車がぎこぎこ音を立てて坂を上っている。;じてんしゃ が ぎこぎこ おと を たてて さか を のぼっている。;The bicycle is creaking as it climbs the hill.;ぎこぎこ	ギコギコ	creaking	onomatopoeia
おじいさんは木をギコギコと切りました。;おじいさん は き を ぎこぎこ と きりました。;Grandpa sawed the wood with a sawing sound.;ぎこぎこ	ギコギコ	sawing	onomatopoeia
このパンの縁はぎざぎざしています。;この ぱん の ふち は ぎざぎざ して います。;The edge of this bread is indented.;ぎざぎざ	ギザギザ	indented	form
電車の中は客でぎしぎしだった。;でんしゃ の なか は きゃく で ぎしぎし だった。;The train was jam-packed with passengers.;ぎしぎし	ギシギシ	jam-packed	available space
かさがみると、ゆかがぎしぎしとなっています。;かさ が みる と、 ゆか が ぎしぎし と なって います。;When I step lightly, the floor creaks.;ぎしぎし	ギシギシ	creaking	onomatopoeia
彼の態度はいつもぎすぎすしていて、話しにくい。;かれ の たいど は いつも ぎすぎす していて、はなし にくい。;His attitude is always cold and unfriendly, making it hard to talk to him.;ぎすぎす	ギスギス	lack of gentleness / warmth	personal attitude
彼は最近ぎすぎすしている。;かれ は さいきん ぎすぎす している。;He has become skinny lately.;ぎすぎす	ギスギス	"skinny, thin"	the body
彼はきちきちと毎朝ジョギングに出かける。;かれ は きちきち と まいあさ ジョギング に でかける 。;He sets out for a jog punctually every morning.;きちきち	キチキチ	"regularly, punctual"	action
電車はきちきちに満員だったので、次のに乗ることにした。;でんしゃ は きちきち に まんいん だった ので、つぎ の に のる こと に した。;The train was jam-packed, so I decided to take the next one.;きちきち	キチキチ	jam-packed	available space
彼はいつもきちきちと仕事をしているので、私たちのプロジェクトを任せるのに安心です。;かれは いつも きちきちと しごとを しているので、 わたしたちの プロジェクトを まかせるのに あんしんです。;He always works diligently, so we feel confident entrusting him with our project.;きちきち	キチキチ	not letting [someone] down	personal traits
彼のワイシャツはいつもきちきちにアイロンかけられている。;かれ の わいしゃつ は いつも きちきち に あいろん かけられている。;His shirt is always ironed to be perfectly crisp.;きちきち	キチキチ	(pure) exact	quantity
このスーツケースは、きちきちに服が入っています。;この　すーつけーす　は、きちきち　に　ふく　が　はいって　います。;The clothes are packed tightly into this suitcase.;きちきち	キチキチ	"tight, exact"	size
彼は朝8時にきちきちに到着した。;かれ は あさ はちじ に きちきち に とうちゃく した 。;He arrived exactly at 8 AM.;きちきち	キチキチ	"exactly, just in time"	temporal aspect
彼は毎朝キチキチに職場に到着します。;かれ は まいあさ きちきち に しょくば に とうちゃく します。;He arrives at the workplace punctually every morning.;きちきち	キチキチ	"regularly, punctualy"	work attitude
彼はきちっと時間通りに会議に出席する。;かれ は きちっと じかんどおり に かいぎ に しゅっせき する 。;He reliably attends the meeting on time.;きちっ	キチッ	"reliably, strict"	action
彼は仕事に対してきちっとした態度を持っていますが、お金の問題には無頓着です。;かれ は しごと に たいして きちっと した たいど を もって います が おかね の もんだい には むとんちゃく です。;He has a reliable and strict attitude towards work but is indifferent about money issues.;きちっ	キチッ	reliable and strict	money issues
彼はいつもきちっとした服装をしている。;かれ は いつも きちっと した ふくそう を している。;He always dresses properly.;きちっ	キチッ	"properly, neat"	personal attire
彼はきちんとしているので、信頼できます。;かれ は きちんと して いる ので、しんらい できます。;He is reliable because he is always organized.;きちっ	キチッ	reliable	personal traits
彼は きちっと 5時に 駅に 着きました。;かれ は きちっと ごじ に えき に つきました。;He arrived at the station precisely at 5 o'clock.;きちっ	キチッ	"exactly, precisely"	quantity
彼は資料をきちっと整理した。;かれ は しりょう を きちっと せいり した。;He neatly organized the documents.;きちっ	キチッ	"properly, orderly, neatly"	resultant state
彼はネクタイをきちんと結んだ。;かれ は ねくたい を きちんと むすんだ。;He tied his tie properly.;きちっ	キチッ	"tightly, properly"	resultant state
彼のスケジュールは毎日きちっとうごいている。;かれ の すけじゅーる は まいにち きちっ と うごいている。;His schedule runs like clockwork every day.;きちっ	キチッ	"tight, like clockwork"	temporal aspect
彼のきちっとした仕事ぶりには驚かされる。;かれ の きちっと した しごとぶり には おどろかされる。;I am amazed by his reliable and strict work attitude.;きちっ	キチッ	reliable and strict	work attitude
彼女はきちっきちっと毎日の日課をこなします。;かのじょ は きちっきちっと まいにち の にっか を こなします。;She completes her daily routines reliably and strictly every day.;きちっきちっ	キチッキチッ	"reliably, strict, completing all actions"	action
彼女は時間をきちっきちっと確認した。;かのじょ は じかん を きちっきちっ と かくにん した。;She checked the time precisely.;きちっきちっ	キチッキチッ	"exactly, precisely"	quantity
電車の中で、ぎちゃんぎちゃんと音を立て、子供たちはメタルブロックで遊んでいました。;でんしゃ の なか で、ぎちゃん ぎちゃん と おと を たて、こどもたち は めたる ぶろっく で あそんで いました。;On the train, the children were playing with metal blocks making a "clang clang" sound.;ぎちゃんぎちゃん	ギチャンギチャン	"""clang clang"""	onomatopoeia
彼女は毎日朝食をきちんと作ります。;かのじょ は まいにち ちょうしょく を きちん と つくります。;She makes breakfast properly every morning.;きちん	キチン	"precisely, properly"	action
彼はきちんと座って礼儀正しかった。;かれ は きちん と すわって れいぎ ただしかった。;He sat properly and was well-mannered.;きちん	キチン	sitting properly	performing an action	sitting
彼はきちんとした服装で会議に出席しました。;かれ は きちんと した ふくそう で かいぎ に しゅっせき しました。;He attended the meeting in proper attire.;きちん	キチン	"properly, neat"	personal attire
彼はきちんとした服装でパーティーに行きました。;かれ は きちんと した ふくそう で ぱーてぃー に いきました。;He went to the party in a properly dressed manner.;きちん	キチン	"properly, orderly, neatly"	resultant state
宿題をきちんきちんと終わらせた。;しゅくだい を きちんきちん と おわらせた。;I finished my homework precisely and properly.;きちんきちん	キチンキチン	"precisely, properly"	action
彼女はお金の問題をきちんきちんと管理しています。;かのじょ は おかね の もんだい を きちん きちん と かんり して います。;She manages money issues precisely and regularly.;きちんきちん	キチンキチン	"precisely, regularly"	money issues
彼は厳しい顔をして、部下たちを見た。;かれ は きびしい かお を して、ぶか たち を みた。;He looked at his subordinates with a stern facial expression.;きっ	キッ	stern	facial expression
彼は午前9時きっかりに到着しました。;かれ は ごぜん くじ きっかり に とうちゃく しました。;He arrived exactly at 9:00 AM.;きっかり	キッカリ	"exactly, precisely"	temporal aspect
突然の大きな音にぎっくりとした。;とつぜん の おおき な おと に ぎっくり と した。;I was startled by the sudden loud noise.;ぎっくり	ギックリ	"startled, frightened, stopped one breath short (emphatic form of ぎくん)"	mental state	scared
電車はぎっしり詰まっていて、座る場所がありませんでした。;でんしゃ は ぎっしり つまって いて 、 すわる ばしょ が ありません でした 。;The train was packed tightly, and there was no space to sit.;ぎっしり	ギッシリ	compact	available space
彼は小さいボートをぎっちらと漕いで湖を渡った。;かれ は ちいさい ぼーと を ぎっちら と こいで みずうみ を わたった。;He rowed the small boat across the lake with steady strokes.;ぎっちら	ギッチラ	rowing a small boat	performing an action
彼は料金をきっちり1000円支払った。;かれ は りょうきん を きっちり せん えん しはらった。;He paid exactly 1000 yen for the fee.;きっちり	キッチリ	"exact (round number, not a fraction)"	quantity
彼は締め切りまでにきっちりレポートを完成させた。;かれ は しめきり まで に きっちり れぽーと を かんせい させた。;He completed the report exactly by the deadline.;きっちり	キッチリ	"tightly, exactly"	resultant state
机の位置は壁にきっちり合わせてください。;つくえ の いち は かべ に きっちり あわせて ください。;Please align the desk precisely with the wall.;きっちり	キッチリ	exact	size
彼はきっちり7時に到着しました。;かれ は きっちり しち じ に とうちゃく しました。;He arrived precisely at 7 o'clock.;きっちり	キッチリ	"exactly, precisely"	temporal aspect
この箱にはぎっちりおもちゃが詰まっています。;この はこ には ぎっちり おもちゃ が つまって います。;This box is tightly packed with toys.;ぎっちり	ギッチリ	compact	available space
彼はいつもきっぱいした服を着ている。;かれ は いつも きっぱり した ふく を きている。;He always wears fresh, clean clothes.;きっぱい	キッパイ	"fresh, clean"	personal attire
彼はきっぱり断った。;かれ は きっぱり ことわった。;He flat out refused.;きっぱり	キッパリ	"frankly, flat out"	performing an action
彼女はきっぱりと断った。;かのじょ は きっぱり と ことわった。;She rejected it plainly.;きっぱり	キッパリ	"plain, frank, candid, rejecting flattery"	speech
揚げ物をたくさん食べた後、口の中がギトギトしている。;あげものを たくさん たべた あと、くちの なかが ギトギトしている。;After eating a lot of fried food, my mouth feels all sticky and greasy.;ぎとぎと	ギトギト	feeling sticky and greasy from oil	feelings
そのラーメンのスープはぎとぎとしている。;その らーめん の すーぷ は ぎとぎと して いる。;The soup of that ramen is greasy.;ぎとぎと	ギトギト	"sticky, greasy"	physical state	sticky
彼女はきびきびとした表情で会場に入った。;かのじょ は きびきび と した ひょうじょう で かいじょう に はいった。;She entered the hall with an energetic and spirited expression.;きびきび	キビキビ	"energetic, spirited"	facial expression
彼はきびきびと指示を出した。;かれ は きびきび と しじ を だした。;He gave instructions in a clear and crisp manner.;きびきび	キビキビ	"clear, crisp"	speech
彼はいつもきびきび働いています。;かれ は いつも きびきび はたらいて います。;He always works energetically.;きびきび	キビキビ	"energetic, brisk, lively"	work attitude
その犬が急に道に飛び出してきて、私はきゃーきゃーと叫んだ。;その いぬ が きゅうに みち に とびだしてきて、 わたし は きゃー きゃー と さけんだ。;The dog suddenly jumped into the road, and I screamed, "Eeeeeeeeeeeeeek!";きゃーきゃー	キャーキャー	"""eeeeeeeeeeek!"""	onomatopoeia	human noises
池にたくさんのアヒルがいて、ぎゃーぎゃーと鳴いていた。;いけ に たくさん の あひる が いて、ぎゃーぎゃー と ないていた。;There were many ducks in the pond, gaggling loudly.;ぎゃーぎゃー	ギャーギャー	gaggling	onomatopoeia	duck
